-6363744 
-6345832 -4913481 -6348456 -2696777 -4548947 -3549686 -2834109 -6344081 
-6345767 -4915556 -6348311 -2692592 -4544758 -3555362 -2829462 -6344458 
-6346144 -4925169 -6348743 -2680081 -4530828 -3562876 -2815328 -6344212 
-6345892 -4925246 -6348574 -2681589 -4534056 -3557976 -2818659 -6343543 
-6345227 -4914462 -6347857 -2693204 -4545882 -3548021 -2830976 -6343502 
-6345191 -4911320 -6347727 -2688474 -4539296 -3549197 -2825907 -6343699 
-6345381 -4924272 -6347954 -2678763 -4530027 -3559916 -2816527 -6343391 
-6345074 -4929270 -6347734 -2681488 -4532629 -3560141 -2818326 -6342376 
-6344062 -4924261 -6346684 -2701591 -4552288 -3554979 -2837116 -6341561 
-6343243 -4928871 -6345756 -2714074 -4563649 -3563464 -2848596 -6341134 
-6342813 -4944855 -6345335 -2705861 -4553251 -3580077 -2840323 -6340686 
-6342367 -4950504 -6344987 -2696602 -4549502 -3581537 -2836703 -6340114 
-6341796 -4939717 -6344407 -2707429 -4558152 -3570039 -2844784 -6339204 
-6340890 -4939421 -6343386 -2722324 -4572261 -3571479 -2858679 -6338602 
-6340288 -4956227 -6342759 -2719262 -4568055 -3589156 -2854871 -6337913 
-6339597 -4969807 -6342157 -2718987 -4565661 -3597911 -2853466 -6336714 
-6338393 -4964578 -6340973 -2729074 -4577212 -3591142 -2863926 -6335559 
-6337235 -4958496 -6339711 -2739462 -4587680 -3588331 -2873992 -6335307 
-6336986 -4963056 -6339412 -2722697 -4570247 -3596111 -2858554 -6335257 
-6336947 -4970629 -6339462 -2712445 -4561687 -3598544 -2849563 -6334623 
-6336309 -4966343 -6338871 -2721159 -4570292 -3591441 -2857526 -6333676 
-6335362 -4957956 -6337828 -2732869 -4582250 -3585349 -2869064 -6333408 
-6335096 -4963254 -6337490 -2725266 -4573616 -3593065 -2861046 -6333487 
-6335174 -4971968 -6337649 -2711747 -4559304 -3597691 -2846175 -6332963 
-6334650 -4969323 -6337190 -2715094 -4564102 -3589570 -2851266 -6332005 
-6333690 -4962100 -6336152 -2727517 -4577857 -3581968 -2864922 -6331744 
-6333428 -4963235 -6335800 -2721009 -4570190 -3586674 -2858574 -6331412 
-6333089 -4976951 -6335523 -2714783 -4561881 -3597763 -2851555 -6330856 
-6332535 -4978475 -6335051 -2717849 -4565502 -3594921 -2853829 -6329941 
-6331627 -4969948 -6334080 -2731671 -4581231 -3584983 -2868032 -6329049 
-6330736 -4973688 -6333072 -2736334 -4586774 -3592042 -2874151 -6328616 
-6330299 -4985423 -6332662 -2725509 -4575616 -3605517 -2863433 -6328361 
-6330040 -4981266 -6332512 -2715441 -4566283 -3598621 -2853887 -6327373 
-6329055 -4973311 -6331500 -2732373 -4582692 -3587399 -2870219 -6326473 
-6328159 -4972079 -6330476 -2738105 -4588686 -3590827 -2876088 -6326437 
-6328126 -4978802 -6330448 -2723385 -4572657 -3600080 -2861039 -6326267 
-6327952 -4979239 -6330386 -2714144 -4565526 -3596376 -2853448 -6325450 
